# V (dm^3)    p (Pa)
0.21          1856455
0.31          1176944
0.41          838490
0.51          698362
0.61          578635
0.71          520583
0.81          408654
0.91          380019
1.01          328310
1.11          299553
1.21          265527
1.31          236984
1.41          232073
1.51          205409
1.61          187431
1.71          176564
1.81          169853
1.91          158134
2.01          155854
2.11          136255
2.21          134414
2.31          121346
2.41          121355
2.51          109733
2.61          105941
2.71          97996
2.81          96755
2.91          87636
3.01          83511
3.11          78112
3.21          74494
3.31          70167
3.41          69630
3.51          62924
3.61          68599
3.71          61580
3.81          61153
3.91          59641
4.01          52314
4.11          54196
4.21          53189
4.31          49237
4.41          44996
4.51          44448
4.61          42565
4.71          42417
4.81          40441
4.91          40842
5.01          39107
5.11          34512
5.21          36047
5.31          35013
5.41          33445
5.51          32614
5.61          32041
5.71          29115
5.81          28936
5.91          27993
6.01          28201
6.11          24958
6.21          27504
6.31          26069
6.41          24666
6.51          22976
6.61          22677
6.71          22287
6.81          22495
6.91          22042
7.01          20961
7.11          20510
7.21          20167
7.31          20085
7.41          19318
7.51          18835
7.61          18450
7.71          18638
7.81          17375
7.91          16594
8.01          16363
8.11          16741
8.21          16267
8.31          15327
8.41          15273
8.51          15478
8.61          14711
8.71          14561
8.81          14328
8.91          13591
9.01          13949
9.11          13445
9.21          13539
9.31          13692
9.41          12987
9.51          12701
9.61          12146
9.71          12668
9.81          12276
9.91          12212
